cell,time,x,y,z,size,mother
AB,1,113.25482688229579,34.08748439265116,-0.92798145,53,P0
AB,2,153.2548268822958,-7.912515607,-0.42798145,68,P0
AB,3,156.2548268822958,-16.91251561,-0.92798145,48,P0
AB,4,150.2548268822958,-28.91251561,-0.92798145,50,P0
ABa,5,178.2548268822958,20.087484392651163,-0.62798145,70,AB
ABa,6,180.2548268822958,7.087484392651163,-0.02798145,71,AB
ABa,7,212.2548268822958,3.087484392651163,-0.42798145,75,AB
ABa,8,231.2548268822958,-3.912515607,-0.42798145,79,AB
ABa,9,237.2548268822958,9.087484392651163,-0.22798145,82,AB
ABa,10,240.2548268822958,16.087484392651163,1.2720185504488946,86,AB
ABa,11,219.2548268822958,26.087484392651163,0.6720185504488949,89,AB
ABa,12,207.2548268822958,27.087484392651163,0.6720185504488949,92,AB
ABa,13,199.2548268822958,44.08748439265116,-0.72798145,95,AB
ABa,14,184.2548268822958,66.08748439265116,1.7720185504488946,79,AB
ABal,15,184.2548268822958,53.08748439265116,-3.32798145,58,ABa
ABal,16,216.2548268822958,13.087484392651163,-3.42798145,60,ABa
ABal,17,216.2548268822958,-4.912515607,-3.52798145,73,ABa
ABal,18,230.2548268822958,-0.912515607,-3.42798145,69,ABa
ABal,19,251.2548268822958,-5.912515607,-3.22798145,65,ABa
ABal,20,267.2548268822958,-9.912515607,-3.62798145,70,ABa
ABal,21,272.2548268822958,-8.912515607,-2.42798145,70,ABa
ABal,22,269.2548268822958,-17.91251561,-1.42798145,72,ABa
ABal,23,272.2548268822958,-32.91251561,-0.42798145,75,ABa
ABal,24,257.2548268822958,-57.91251561,1.2720185504488946,80,ABa
ABal,25,256.2548268822958,-60.91251561,1.372018550448896,84,ABa
ABal,26,266.2548268822958,-63.91251561,1.372018550448896,81,ABa
ABal,27,242.2548268822958,-56.91251561,2.1720185504488967,58,ABa
ABala,28,254.2548268822958,-23.91251561,2.972018550448894,49,ABal
ABala,29,276.2548268822958,1.087484392651163,2.472018550448894,52,ABal
ABala,30,280.2548268822958,2.087484392651163,1.9720185504488938,59,ABal
ABala,31,293.2548268822958,8.087484392651163,1.1720185504488967,59,ABal
ABala,32,316.2548268822958,19.087484392651163,2.1720185504488967,60,ABal
ABala,33,313.2548268822958,25.087484392651163,2.1720185504488967,61,ABal
ABala,34,304.2548268822958,38.08748439265116,2.2720185504488946,63,ABal
ABala,35,291.2548268822958,46.08748439265116,4.072018550448895,65,ABal
ABala,36,285.2548268822958,49.08748439265116,4.172018550448897,69,ABal
ABala,37,291.2548268822958,40.08748439265116,3.0720185504488953,70,ABal
ABala,38,288.2548268822958,36.08748439265116,4.072018550448895,68,ABal
ABala,39,283.2548268822958,41.08748439265116,5.072018550448895,66,ABal
ABala,40,270.2548268822958,51.08748439265116,4.272018550448895,70,ABal
ABala,41,268.2548268822958,46.08748439265116,4.972018550448894,65,ABal
ABala,42,265.2548268822958,40.08748439265116,4.872018550448896,65,ABal
ABalaa,43,290.2548268822958,2.087484392651163,5.172018550448897,51,ABala
ABalaa,44,290.2548268822958,-11.91251561,5.772018550448895,58,ABala
ABalaa,45,291.2548268822958,-19.91251561,5.972018550448894,57,ABala
ABalaa,46,299.2548268822958,-32.91251561,5.972018550448894,55,ABala
ABalaa,47,298.2548268822958,-41.91251561,6.172018550448897,56,ABala
ABalaa,48,297.2548268822958,-30.91251561,6.972018550448894,57,ABala
ABalaa,49,292.2548268822958,-26.91251561,7.072018550448895,59,ABala
ABalaa,50,284.2548268822958,-38.91251561,7.072018550448895,59,ABala
ABalaa,51,287.2548268822958,-41.91251561,6.172018550448897,61,ABala
ABalaa,52,291.2548268822958,-50.91251561,6.072018550448895,60,ABala
ABalaa,53,283.2548268822958,-57.91251561,6.772018550448895,60,ABala
ABalaa,54,286.2548268822958,-62.91251561,5.372018550448896,63,ABala
ABalaa,55,279.2548268822958,-56.91251561,5.972018550448894,61,ABala
ABalaa,56,280.2548268822958,-59.91251561,5.872018550448896,61,ABala
ABalaa,57,274.2548268822958,-68.91251561,5.772018550448895,61,ABala
ABalaa,58,276.2548268822958,-66.91251561,6.872018550448896,61,ABala
ABalaa,59,279.2548268822958,-60.91251561,6.672018550448897,61,ABala
ABalaa,60,271.2548268822958,-63.91251561,5.772018550448895,62,ABala
ABalaa,61,268.2548268822958,-63.91251561,4.972018550448894,62,ABala
ABalaa,62,273.2548268822958,-68.91251561,3.472018550448894,64,ABala
ABalaa,63,269.2548268822958,-60.91251561,5.772018550448895,61,ABala
ABalaaa,64,287.2548268822958,-28.91251561,6.972018550448894,59,ABalaa
ABalaaa,65,296.2548268822958,-22.91251561,5.272018550448895,54,ABalaa
ABalaaa,66,296.2548268822958,-7.912515607,5.372018550448896,55,ABalaa
ABalaaa,67,293.2548268822958,0.087484393,6.872018550448896,57,ABalaa
ABalaaa,68,295.2548268822958,10.087484392651163,7.872018550448896,57,ABalaa
ABalaaa,69,304.2548268822958,4.087484392651163,7.072018550448895,55,ABalaa
ABalaaa,70,301.2548268822958,-13.91251561,7.072018550448895,54,ABalaa
ABalaaa,71,300.2548268822958,-11.91251561,6.972018550448894,53,ABalaa
ABalaaa,72,296.2548268822958,-12.91251561,6.972018550448894,52,ABalaa
ABalaaa,73,289.2548268822958,-9.912515607,6.272018550448895,52,ABalaa
ABalaaa,74,296.2548268822958,-8.912515607,6.272018550448895,52,ABalaa
ABalaaa,75,297.2548268822958,-11.91251561,6.172018550448897,52,ABalaa
ABalaaa,76,299.2548268822958,-16.91251561,6.172018550448897,52,ABalaa
ABalaaa,77,294.2548268822958,-19.91251561,6.172018550448897,52,ABalaa
ABalaaa,78,291.2548268822958,-26.91251561,6.172018550448897,54,ABalaa
ABalaaa,79,299.2548268822958,-23.91251561,6.172018550448897,52,ABalaa
